Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2018-04-06T02:05:00Z,Warning,Male,Traffic Sign/Signal,1380 E 53rd,African American,Ran stop sign,No
N/A,2018-04-06T09:38:00Z,Warning,Male,Traffic Sign/Signal,1215 E 53rd,Caucasian,Disobeyed traffic control device,No
N/A,2018-04-06T15:20:00Z,Warning,Male,moving violation,5800 S Stony Island,African American,Failure to yield,No
N/A,2018-04-06T17:07:00Z,Warning,Male,Traffic Sign/Signal,5900 S Ellis,African American,Ran stop sign,No
N/A,2018-04-06T19:37:00Z,Warning,Female,Traffic Sign/Signal,5700 S Stony Island,African American,Ran stop sign,No
N/A,2018-04-07T00:53:00Z,Warning,Female,Lane Violation,5337 S Ellis,African American,Improper lane usage,No
N/A,2018-04-07T01:14:00Z,Warning,Male,Lane Violation,1250 E 47th,African American,Improper lane usage,No
N/A,2018-04-07T09:47:00Z,Warning,Male,Traffic Sign/Signal,5800 S Cottage Grove,Hispanic,Disobeyed traffic control device,No
N/A,2018-04-07T10:58:00Z,Warning,Male,Lane Violation,1127 E 56th,African American,Improper lane usage,No
N/A,2018-04-07T16:14:00Z,Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2018-04-07T19:45:00Z,Warning,Male,Lane Violation,1509 E 53rd,African American,Illegal U-Turn,No
N/A,2018-04-07T23:27:00Z,Warning,Male,Traffic Sign/Signal,1321 E 56th,Hispanic,Ran stop sign,No
N/A,2018-04-08T08:39:00Z,Warning,Female,Traffic Sign/Signal,6100 S University,African American,Ran stop sign,No
N/A,2018-04-08T14:02:00Z,Warning,Female,Traffic Sign/Signal,6300 S Woodlawn,African American,Disobeyed traffic control device,No
N/A,2018-04-08T14:46:00Z,Warning,Male,speed,6100 S Woodlawn,African American,Speeding,No
Two citations issued,2018-04-08T22:16:00Z,Citation,Female,Traffic Sign/Signal,5500 S Greenwood,African American,Ran stop sign,No
Two citations issued,2018-04-08T20:23:00Z,Citation,Female,Equipment,6300 S Drexel,African American,Driving without headlights,No
N/A,2018-04-09T00:13:00Z,Warning,Male,Traffic Sign/Signal,5634 S Woodlawn,African American,Ran stop sign,No
N/A,2018-04-09T16:10:00Z,Warning,Female,Lane Violation,1400 E Midway Plaisance,African American,Driving in wrong lane,No
N/A,2018-04-09T17:11:00Z,Warning,Female,Traffic Sign/Signal,5300 S Cornell,African American,Ran stop sign,No
N/A,2018-04-09T17:52:00Z,Warning,Male,Traffic Sign/Signal,5400 Hyde Park,African American,Ran red light,No
N/A,2018-04-09T20:06:00Z,Warning,Male,Traffic Sign/Signal,5800 Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2018-04-09T20:38:00Z,Warning,Female,Traffic Sign/Signal,5500 Maryland,Caucasian,Ran stop sign,No
N/A,2018-04-09T20:39:00Z,Warning,Male,Traffic Sign/Signal,5300 Greenwood,African American,Ran stop sign,No
N/A,2018-04-09T20:46:00Z,Warning,Male,Traffic Sign/Signal,5200 Cornell,African American,Ran stop sign,No
N/A,2018-04-09T20:51:00Z,Warning,Female,Equipment,5500 Lake Park,African American,Driving without headlights,No
N/A,2018-04-09T21:13:00Z,Warning,Male,Traffic Sign/Signal,5500 Kenwood,NHPI or Indian,Ran stop sign,No
