Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
12/16/2019 11:55 PM,Name checked & released with no further action.,Male,Citizen request for UCPD Response,1311 E. 57th Street,African American,Complaint by bank security in regards to subject refusing to leave.,No
12/16/2019 1:19 PM,Name checked & released with no further action.,Male,UCPD,5100 S. Greenwood,African American,R/O observed subject pulling on car door handles. Subject attempted to flee upon approach,No
12/18/2019 3:27 PM,Name checked & released with no further action.,Male,Citizen request for UCPD Response,1311 E. 57th Street,Caucasian,Subject was reportedly causing a disturbance inside the bank and manager wanted officer to check on his well being,No
12/25/2019 7:53 AM,"Name checked, Released to parent, no further actio",Male,Citizen request for UCPD Response,1159 E. 54th Street,African American,Call in by citizen who advised that subject was following him,No
12/25/2019 8:07 AM,"Name checked, Released to parent, no further actio",Male,Citizen request for UCPD Response,5333 S. Greenwood,African American,Call in by citizen who advised that subject was following him,No
12/27/2019 3:26 PM,Name checked; released; no further action,Male,UCPD,6000 S. Woodlawn,African American,Subject fit the physical description of recent robbery offender and was in the area where recent robberies have occurred,No
12/29/2019 7:56 PM,Name checked; trespass warning issued.,Male,UCPD,6054 S. Drexel,African American,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",No
12/29/2019 7:56 PM,Name checked; trespass warning issued.,Male,UCPD,6054 S. Drexel,African American,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",No
12/29/2019 7:56 PM,Name checked; trespass warning issued.,Male,UCPD,6054 S. Drexel,African American,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",No
12/30/2019 8:52 AM,Name checked & released with no further action.,Male,Citizen request for UCPD Response,5758 S. Maryland,Hispanic,Call in by UCMC PSOof a banned subjectobserved inside the building.,No
1/8/2020 8:11 AM,"Name checked, Released; no further action",Female,UCPD,6022 S. Drexel,Hispanic,Observed Panhandling in Drexel Garage,Yes
1/14/2020 10:21 AM,"Name checked; Released  no
further action",Male,UCPD,5326 S. Greenwwod,African American,"Observed Subject going through a
package",No
1/17/2020 1:56 PM,"Name checked; Released no
further action",Male,Citizen request for UCPD Response,5100 S. Greenwood,African American,Citizen call in to report that listed subject walking door to door ringing bell,No
1/27/2020 3:48 PM,Name Checked; Released ; no further action,Male,UCPD,928 E. Hyde Park Blvd.,African American,Matched description of offender involved in several packages thefts in the area,Yes
1/27/2020 8:41 PM,Name Checked and transported home to parent,Male,UCPD,5751 S. Kenwood,African American,Subject matched the physical and clothing description of suspicious person call,No
9/3/2015 6:50 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 Ellis,Caucasian,Officers responded to call regarding assault,Yes
9/4/2015 3:51 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5900 S University,African American,Suspicious Person,No
9/5/2015 1:52 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4600 S Lake Park,African American,Subject matched description of person with gun,Yes
9/5/2015 1:52 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4600 S Lake Park,African American,Subject matched description of person with gun,Yes
9/5/2015 2:38 AM,Name checked; referred to CFD,Male,Citizen request for UCPD Response,5423 S Blackstone,Caucasian,Subject described as person down possibly due to intoxication,No
9/6/2015 3:28 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1323 E 50th,African American,Suspicious Person,No
9/9/2015 9:44 AM,Name checked; released; no further action,Male,UCPD,5300 S Blackstone,African American,Suspicious Person,No
9/10/2015 4:41 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1550 E. 53rd St.,African American,Disturbance,Yes
9/10/2015 4:41 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1550 E. 53rd St.,African American,Disturbance,No
9/18/2015 12:09 PM,Name checked; verbal warning issued; released,Male,Citizen request for UCPD Response,5700 S Payne Dr.,African American,Subject observed pulling on vehicle door handles and possibly entering vehicles,No
9/18/2015 12:09 PM,Name checked; verbal warning issued; released,Male,Citizen request for UCPD Response,5700 S Payne Dr.,African American,Subject observed pulling on vehicle door handles and possibly entering vehicles,No
9/18/2015 12:09 PM,Name checked; verbal warning issued; released,Male,Citizen request for UCPD Response,5700 S Payne Dr.,African American,Subject observed pulling on vehicle door handles and possibly entering vehicles,No
9/18/2015 11:31 PM,Name checked; escorted from the facility,Male,Citizen request for UCPD Response,901 E 58th,African American,Subject was causing a disturbance in the ER,No
9/20/2015 7:57 PM,Name checked; verbal warning issued; released,Male,UCPD,5125 S Greenwood,African American,Observed by officers pulling at door handles on vehicles,Yes
9/20/2015 7:57 PM,Name checked; verbal warning issued; released,Male,UCPD,5125 S Greenwood,African American,Observed by officers pulling at door handles on vehicles,Yes
9/20/2015 7:57 PM,Name checked; verbal warning issued; released,Male,UCPD,5125 S Greenwood,African American,Observed by officers pulling at door handles on vehicles,Yes
9/20/2015 7:57 PM,Name checked; verbal warning issued; released,Male,UCPD,5125 S Greenwood,African American,Observed by officers pulling at door handles on vehicles,Yes
