Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
2019-04-03T23:47:00Z,Name Checked/Other,Male,UCPD,5540 Woodlawn,African American,Officer while on a robbery mission observed a vehicle pull to the side of the road where several citizens were standing. Officer pulled over to observe when the driver began to reverse. Investigatory stop conducted.  During stop officer smelled cannabis. Consensual search conducted of driver and vehicle with negative results.,Yes
2019-04-04T05:04:00Z,released,Male,UCPD,6000 Kenwood,African American,Officer observed subject walking back and forth by a construction site where thefts have occurred.,No
2019-04-08T12:30:00Z,released,Male,UCPD,5312 S Maryland,African American,"Matched description of recent burglary offender, in area",No
2019-04-16T14:47:00Z,released,Male,citizen,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-16T14:47:00Z,released,Male,citizen,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-16T14:47:00Z,released,Male,citizen,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-16T15:13:00Z,arrested,Male,citizen,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-16T15:13:00Z,arrested,Male,citizen,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-16T15:13:00Z,arrested,Male,citizen,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
2019-04-17T13:37:00Z,released,Male,citizen,5107 S Blackstone,African American,Subject matched description of possible trespass offender,No
2019-04-18T20:42:00Z,released,Male,UCPD,5328 S Ellis Ave,African American,Subject fit the description of recent robbery offenders. Further investigation revealed no suspicious activity.,No
2019-04-19T10:59:00Z,arrested,Male,UCPD,5100 S Greenwood,African American,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,No
2019-04-19T10:59:00Z,arrested,Male,UCPD,5100 S Greenwood,African American,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,No
2019-04-20T09:11:00Z,released,Male,citizen,5700 S Stony Island,African American,"Call into ECC in regards to M/B subject who has been observed in the area, possibly involved in thefts and a purse snatch",No
2019-04-20T11:50:00Z,released,Male,citizen,1323 E 61st Street,African American,"Citizen advised that a suspicious vehicle had been sitting in front of her house for 15 mins, causing concern for the home owner. Upon pulling up, the vehicle attempted to pull off",No
2019-04-23T23:43:00Z,released,Male,citizen,5600 Ellis,African American,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Yes
2019-04-23T23:43:00Z,released,Male,citizen,5600 Ellis,African American,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Yes
2019-04-24T00:30:00Z,released,Male,UCPD,5700 Dorchester,Caucasian,Open alcohol in public (alcohol disposed of),No
2019-04-24T13:57:00Z,released,Male,citizen,950 E 61st Street,African American,Subject was identified by a witness on scene as a suspect who may have taken a package from an apartment vestibule. Subject was not in possession of stolen property.,No
2019-04-25T04:34:00Z,released,Male,citizen,5451 S Hyde Park Blvd,Hispanic,Subject matched physical and clothing description provided via CPD Zone 5 radio where caller reported observing a suspicious ind. pulling car door handles.,Yes
2019-04-26T19:38:00Z,released,Male,UCPD,1169 E 56th St,African American,Fit the description of an individual who attempted to gain entry into a church,No
2019-04-26T21:49:00Z,released,Male,citizen,5000 S Drexel Ave,African American,Call from citizen who observed a male push a female into his car and drive away. Units observed vehicle matching description. Stop conducted with further revealing no crime occurred.,No
