Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
Two citations issued,3/16/2018 9:58 PM,Citation issued,Male,Lane Violation,5600 Everett,African American,Wrong way on one way road,No
N/A,3/16/2018 10:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 Ingleside,African American,Ran stop sign,No
N/A,3/17/2018 2:58 AM,Verbal Warning,Female,Traffic Sign/Signal,5400 Woodlawn,African American,Ran stop sign,No
N/A,3/17/2018 9:18 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Drexel,African American,Ran stop sign,No
N/A,3/17/2018 11:13 AM,Verbal Warning,Female,Traffic Sign/Signal,5129 S Ingleside,African American,Ran stop sign,No
N/A,3/17/2018 8:18 PM,Verbal Warning,Female,Lane Violation,1412 E 53rd,Caucasian,Improper lane usage,No
One citation issued,3/17/2018 2:51 PM,Citation issued,Male,Traffic Sign/Signal,5303 S Hyde Park,Caucasian,Ran stop sign,No
N/A,3/17/2018 3:47 PM,Verbal Warning,Male,Lane Violation,5500 S University,Caucasian,Wrong way on one way road,No
N/A,3/17/2018 8:47 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 Blackstone,African American,Ran stop sign,No
N/A,3/18/2018 10:35 AM,Verbal Warning,Male,Traffic Sign/Signal,1332 E 55th,Hispanic,Disobeyed traffic control device,No
N/A,3/18/2018 10:58 AM,Verbal Warning,Male,Traffic Sign/Signal,1332 E 55th,African American,Disobeyed traffic control device,No
N/A,3/18/2018 11:26 AM,Verbal Warning,Female,Traffic Sign/Signal,1400 E Midway Plaisance,African American,Disobeyed traffic control device,No
N/A,3/18/2018 11:34 AM,Verbal Warning,Female,Traffic Sign/Signal,5120 S Blackstone,African American,Disobeyed traffic control device,No
N/A,3/18/2018 11:40 AM,Verbal Warning,Female,Traffic Sign/Signal,6100 S Blackstone,African American,Disobeyed traffic control device,No
N/A,3/18/2018 11:42 AM,Verbal Warning,Female,Lane Violation,1527 E 55th,Asian,Illegal turn,No
N/A,3/18/2018 3:38 PM,Verbal Warning,Male,Lane Violation,1400 E Midway Plaisance,African American,Wrong way on one way road,No
N/A,3/18/2018 5:04 PM,Verbal Warning,Female,Lane Violation,1400 E Midway Plaisance,Asian,Wrong way on one way road,No
N/A,3/18/2018 8:54 PM,Verbal Warning,Male,Traffic Sign/Signal,6000 Cottage Grove,African American,Disobeyed traffic control device,No
N/A,3/18/2018 10:52 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Ellis,African American,Disobeyed traffic control device,No
N/A,3/19/2018 1:16 AM,Verbal Warning,Male,Traffic sign/signal,5100 Dorchester,African American,Disobeyed traffic control device,No
N/A,3/19/2018 1:44 AM,Verbal Warning,Female,Traffic Sign/Signal,1601 E 55th,African American,Disobeyed traffic control device,No
N/A,3/19/2018 11:19 AM,Verbal Warning,Male,Lane Violation,5400 S Kimbark,African American,Improper lane usage,No
N/A,3/19/2018 9:24 PM,Verbal Warning,Male,Traffic Sign/Signal,802 E 58th,African American,Disobeyed traffic control device,No
N/A,3/19/2018 10:14 PM,Verbal Warning,Female,Lane Violation,5500 S Harper,African American,Improper U-Turn,No
N/A,3/19/2018 10:58 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Hyde Park Blvd,African American,Ran stop sign,No
N/A,3/19/2018 11:31 PM,Verbal Warning,Male,Lane Violation,5300 S Dorchester,Asian,Improper lane usage,No
Two citations issued,3/20/2018 12:37 AM,Citations issued,Male,Traffic Sign/Signal,5721 S Maryland,African American,Ran red light,No
N/A,3/20/2018 10:54 PM,Verbal Warning,Male,Traffic Sign/Signal,5123 S Cornell,African American,Ran stop sign,No
N/A,3/21/2018 12:30 AM,Verbal Warning,Male,Traffic sign/signal,5501 S Hyde Park Blvd,African American,Ran stop sign,No
