,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
105,N/A,2/6/2019 8:17 PM,verbal Warning,Male,Lane Violation,5300 S. Dorchester,African American,Driving in wrong lane,No
106,N/A,2/6/2019 9:07 PM,verbal Warning,Male,Speed,1226 E. 53rd Street,Hispanic,Driving to fast for conditions,No
107,N/A,2/7/2019 4:06 PM,Verbal Warning,Male,Moving Violation - Other,5900 S Cottage Grove,African American,Expired registration (vehicle matched description of reckless driver),No
108,N/A,2/7/2019 9:38 PM,Verbal Warning,Male,Lane Violation,5300 S Ingleside,African American,Improper Overtaking,No
109,N/A,2/8/2019 10:42 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Woodlawn,African American,Disobeyed stop sign,No
110,N/A,2/8/2019 10:49 AM,Verbal Warning,Male,Lane Violation,5300 S Kimbark,African American,Improper lane usage,No
111,N/A,2/9/2019 6:10 PM,Verbal Warning,Male,Equipment,5700 S University,Asian,No headlights when required,No
112,N/A,2/9/2019 10:26 PM,Verbal Warning,Male,Traffic sign/signal,5300 S University,Asian,Red Light Violation,No
113,N/A,2/10/2019 12:34 PM,Verbal Warning,Male,Lane Violation,1452 E 53rd,African American,Improper turn,No
114,N/A,2/10/2019 5:35 PM,Verbal Warning,Male,Lane Violation,5700 S Dorchester,African American,Wrong way on one way,No
115,N/A,2/10/2019 9:11 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,African American,Stop Sign Violation,No
116,N/A,2/11/2019 3:36 PM,Verbal Warning,Male,Lane Violation,5342 S University,African American,Driving down one-way,No
117,N/A,2/11/2019 7:11 PM,Verbal Warning,Female,Lane Violation,Midway and Dorchester,African American,Wrong way down a one way,No
118,N/A,2/11/2019 8:11 PM,Verbal Warning,Male,Traffic Sign/Signal,1226 E 53rd,African American,Failed to stop at sign,No
119,N/A,2/11/2019 10:48 PM,Verbal Warning,Female,Equipment,5500 Ellis,Asian,Driving with no tail lights,No
120,N/A,2/12/2019 12:20 PM,Verbal Warning,Male,License plate/registration,6000 S Ellis,African American,"Suspicious auto, no visible registration plate, near burglary hot spot area",No
121,N/A,2/13/2019 1:58 PM,Verbal Warning,Male,Traffic Sign/Signal,5200 S Harper,Asian,Disobeyed stop sign,No
122,N/A,2/13/2019 11:22 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S Hyde Park Blvd,African American,Stop Sign Violation,No
123,N/A,2/14/2019 8:39 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S. University,African American,Disobeyed Stop Sign,No
124,N/A,2/14/2019 9:23 AM,Verbal Warning,Male,Lane Violation,5000 S. Blackstone,African American,Improper Turn,No
125,N/A,2/14/2019 11:01 AM,Verbal Warning,Male,Traffic Sign/Signal,1322 E. 53rd Street,African American,Disobeyed Stop Sign,No
126,N/A,2/14/2019 11:55 AM,Verbal Warning,Female,Lane Violation,5500 S. University,African American,Improper Turn,No
127,N/A,2/14/2019 12:58 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S. Kimbark,Caucasian,Disobeying Traffic Control Device,No
